Word,Related,Value
就行了,4,-0.07430806603200946
比较慢,2,-0.2711734787904174
速度慢,1,-0.08683560920283401
精品,9,1.1906650173585183
后壳,7,0.4279204345835291
不敢恭维,1,-2.0422232256388457
小点,1,1.0822105368419221
退换货,6,-0.18632365543820573
新年礼物,8,0.924502102921239
还会来,4,1.6809032969125508
改善,8,0.5154980641486103
昨天下午,8,-0.298550746055442
全是,2,-0.14590373923630698
太棒了,4,0.5141917030999683
第三台,0,0
生产日期,9,0.5840033819831542
没得,3,-0.7864467427637143
太给力,3,1.1560005725779512
正合适,9,1.2327465625797676
没多久,4,-0.33951773899394605
不持,7,0.310772726273752
就行,5,0.18450064722225248
标配,6,0.7085543756933211
第四个,0,0
物流配送,7,0.6783438499916082
烫手,3,-0.8258345227281488
皮套,6,0.7927504984091253
七天,7,0.04891519247741337
系统升级,7,-0.26588523337909753
今天下午,5,0.046068714717203085
手機,1,0.919991050749468
两张,5,0.001873070056415127
单手,3,0.577408899876473
人用,6,0.3654780137572451
太卡,3,-1.1765653457118266
免提,4,-0.523034678240978
看吧,5,0.3852284098498425
所,7,-0.1094147571768886
千多,6,-0.01522269843463097
安兔,3,1.071925162268099
货后,1,0.33234295978597506
来评,4,0.23169751523565554
半小时,7,-0.10098457762461203
闪屏,5,-0.9115936893960412
高性价比,6,1.1568200715450356
没见,7,0.13667393475728043
磨砂,6,0.7636269268130955
低端,8,0.46950070576003655
解决问题,7,-0.2750598608983849
插卡,2,-0.6097736654400773
屏大,2,1.7803686201197726
多天,5,-0.10035359585081616
各项,6,0.39001131809700823
经用,5,1.270448993171256
贴合,7,1.215747204870188
超棒,3,2.370468141299734
原厂,6,0.8640404974207115
无线网,6,0.1979529358772423
太低,1,1.6120146366460189
畅玩,4,0.8467409921994778
好几部,0,0
屏保,5,0.8393804068178297
吐槽,10,0.6188682473875591
配套,4,1.32645600019432
大大的,5,0.3102867523977775
功能强大,3,2.0541675619396362
真是太,8,-0.06764589449070747
先给,8,1.0383382106949726
刷机,6,0.22774020070095377
三台,0,0
干嘛,9,-0.3268321767639876
二次,5,0.7249110667707984
顶顶顶,5,0.46480941928933694
电话卡,3,-0.6883065529879998
返厂,8,-0.44533926064728657
电板,7,-0.13380185943992168
我妈,9,0.03295557186289352
定要,8,0.027830377621132454
机用,1,0.14932342808737925
优惠卷,8,1.3719840626414548
小毛病,5,-0.32647274715370267
想像中,6,0.8196596722810975
触感,3,0.4062365117858587
剪卡,6,-0.46851803276620685
最差,2,0.10577580926236878
价保,6,0.15871260021215952
点击,8,-0.5138053093200745
不卡顿,6,0.7978078711177042
二天,4,-0.7445571415401913
网查,7,0.4352300424983356
大牌,7,1.1720723981341283
帮人,1,-0.7209351034199378
出手,6,0.8252421941947586
中规中矩,5,0.6209499115128352
真快,3,0.2338977278199846
总得来说,6,0.2419613985772148
几部,0,0
抗用,6,1.2755752092995198
购机,7,0.9194554129592687
接听,5,-0.6044412301232073
硬伤,5,-0.2861546992283459
不上,4,-0.45867154178865
品控,5,1.4474338343265445
发过来,4,-0.07242798700187908
左上角,7,-0.5424060653370082
无论是,7,1.5917165283169017
不差,4,0.9661507109343254
虚化,6,0.9697525273565342
换卡,3,-0.16929142554992468
五个,2,0.08609535456829227
大点,2,0.2231442052509168
玩意,5,-0.9667605468019952
想着,9,-0.7445801506182753
货到付款,5,0.372675146279408
我爸,9,0.13502994875048727
个赞,5,0.21846015969709928
没到,2,-0.4508232795143261
修好,7,-0.20309193013374946
十几天,2,-1.7451647451551169
抢红包,1,0.18856786479644105
开发票,7,-0.12632687763437192
SIM卡,3,-0.7621178728943164
赠,3,2.152409462235609
品牌手机,7,0.8100774531849643
是从,5,0.49939583104777324
不是太好,0,0
充了,3,0.27270642554178465
鉴定,5,0.5805105034874061
给我发,6,0.23662459685477286
