Word,Sim_good,Sim_bad,Value
挺好用,1.14470883397,0.145568395722,0.999140438252
可惜,0.0318411990935,0.48657138942,-0.454730190326
待机时间,0.0944923332707,-0.0282979123794,0.12279024565
颜值,0.357285660799,-0.347867707805,0.705153368604
啊啊啊,0.636296091123,0.0220623368937,0.614233754229
无法,-0.419202689802,0.671466754139,-1.09066944394
国产手机,0.327409799161,0.380133072228,-0.0527232730674
追评,0.356586894447,-0.0259375326094,0.382524427057
白色,0.197065725001,0.00681844838216,0.190247276618
棒棒,0.914877401898,0.441759366464,0.473118035434
买回来,0.0885672619693,0.117577466242,-0.0290102042732
备用机,0.399203296999,-0.284378852642,0.683582149641
半个,0.047653634111,0.0443445917041,0.00330904240687
刚买,-0.177924161284,-0.046020012425,-0.131904148859
先,0.0488938661086,0.0501209328385,-0.00122706672992
顺手,1.43530334487,0.656173550921,0.779129793951
说好,0.479453638062,0.18924932802,0.290204310042
不卡,0.557983762016,-0.0375596826168,0.595543444633
太快,-0.14725488831,0.297896602701,-0.445151491012
第二个,0.577768154033,0.0493954905015,0.528372663531
差评,-0.238565765655,0.616758553876,-0.855324319531
没得说,0.714546356846,0.846943987912,-0.132397631066
模式,-0.0406692145599,0.0470457214897,-0.0877149360496
新手机,0.0641953876263,0.192978166711,-0.128782779085
直用,0.667624486138,0.244082002384,0.423542483755
不想,-0.0225452721588,0.684388744774,-0.706934016933
三个,0.0405942229876,0.323786740905,-0.283192517917
国产机,0.249077595181,0.392993419045,-0.143915823864
太慢,0.0446137579171,0.480708092108,-0.436094334191
几次,-0.119042216387,0.128637952146,-0.247680168533
不太好,0.534374192284,1.3115831676,-0.77720897532
既往,0.189244144574,0.0158329491079,0.173411195466
换货,-0.326157494512,0.0677097719113,-0.393867266423
总之,0.859161740695,0.173379034863,0.685782705832
发烫,0.115749925576,0.585490486735,-0.469740561159
直在,0.385942492219,0.302493387236,0.0834491049833
收货,-0.320147706525,-0.223913401053,-0.0962343054716
哈哈哈哈,0.777989205529,-0.0196405466381,0.797629752168
超快,0.458193857787,0.091254225016,0.366939632771
想要,0.615917122353,0.252526957378,0.363390164975
触屏,0.0437248362666,0.415267184835,-0.371542348569
玻璃,0.0891000761498,0.368649055921,-0.279548979772
好不好,0.414508635593,0.460135350448,-0.0456267148543
电子产品,0.231994887731,0.090200837069,0.141794050661
买过,0.30469672094,0.0934795982568,0.211217122683
好几个,0.496315328492,0.132638057759,0.363677270733
第二部,0.549706598424,-0.00624735331692,0.555953951741
多月,0.350344156715,0.401819095158,-0.0514749384424
比较满意,1.00058901916,0.02369702634,0.976891992817
手机套,0.0728779361249,0.431235920606,-0.358357984481
用用,0.600066464752,-0.169522084418,0.769588549171
次用,0.607172077461,0.42826013095,0.178911946511
两次,-0.379652266348,0.317925818376,-0.697578084724
内存卡,-0.307794795977,0.415821091813,-0.723615887791
刚用,0.336287140464,-0.0392001361616,0.375487276626
没电,-0.133751353824,0.305844471037,-0.439595824861
惊艳,0.826961851209,0.629944421885,0.197017429325
没货,-0.254434580836,0.273854015965,-0.528288596801
双卡,0.16965817534,0.274992844693,-0.105334669353
蓝牙,0.330005869071,0.670085636187,-0.340079767116
卡机,0.167575156852,0.492808407463,-0.325233250611
这点,-0.147039444734,0.289768347374,-0.436807792108
反应速度,0.513327700439,0.0783349003275,0.434992800111
手机卡,-0.389090242384,0.672173045347,-1.06126328773
前置,0.103528726315,0.704298996463,-0.600770270148
顺畅,1.30302010843,0.603029483049,0.699990625379
店里,-0.0240218994764,0.0395877985753,-0.0636096980517
感受,0.193016993312,0.00130500052731,0.191711992785
最大,-0.235988236411,0.250237988189,-0.4862262246
没话说,0.542354550103,0.640056330674,-0.0977017805711
有个,-0.428161012765,0.40741006148,-0.835571074245
第三个,0.550390583514,0.144334453581,0.406056129933
太差,0.43177865474,1.429719626,-0.997940971261
不爽,0.706136492762,1.05297221877,-0.34683572601
自动关机,-0.287658330183,0.301697809842,-0.589356140025
价格便宜,0.676294594217,0.18322481763,0.493069776587
大屏幕,0.460474198667,0.0381541692741,0.422320029393
点赞,0.434344594263,-0.0424506776389,0.476795271902
色彩,0.493770995476,0.341305864939,0.152465130537
不怎么样,0.67433198417,1.3302129551,-0.655880970933
图,-0.189709041313,-0.133340645455,-0.0563683958582
外放,0.309981621273,0.810488654258,-0.500507032984
卸载,-0.252153420739,0.244260464205,-0.496413884945
长时间,0.874157785514,0.631069893776,0.243087891738
买到,0.110531776242,-0.163589555125,0.274121331366
真不错,1.07861112577,0.439652154439,0.638958971336
内,-0.569364729763,0.0695055490762,-0.63887027884
能用,0.0265152492123,-0.175163063807,0.20167831302
爸妈,0.626155532393,-0.273613088082,0.899768620475
送个,0.264447351827,0.474620966382,-0.210173614554
